date,order_id,category_level_1,category_level_2,category_level_3,cost_centre,plant,plant_id,region,amount,unit_price,total,ai_result,description,supplier,supplier_country
2024-01-26,ORD-2024-08936-CK,Indirect,Travel & Entertainment,Hotel,CC-800-Admin,US-West Plant,PLANT-US-W,North America,95,516.96,49111.2,"{""description"":""Online travel booking platform for flights, hotels, and vacation packages."",""supplier"":""Expedia"",""supplier_country"":""US""}","Online travel booking platform for flights, hotels, and vacation packages.",Expedia,US
2024-01-31,ORD-2024-08929-KL,Direct,Packaging Materials,Export crate,CC-700-Logistics,Vietnam Plant,PLANT-VN,Asia,4,2808.42,11233.68,"{""description"":""High-quality recyclable packaging solutions for diverse industries"",""supplier"":""Viet Nam Packaging Co., Ltd."",""supplier_country"":""VN""}",High-quality recyclable packaging solutions for diverse industries,"Viet Nam Packaging Co., Ltd.",VN
2024-10-11,ORD-2024-02548-FT,Indirect,"MRO (Maintenance, Repair, Operations)",Cleaning solvent,CC-200-Maintenance,Brazil Plant,PLANT-BR,South America,55,1704.55,93750.25,"{""description"":""High-quality maintenance and repair supplies for industrial plants"",""supplier"":""MRO Brasil"",""supplier_country"":""BR""}",High-quality maintenance and repair supplies for industrial plants,MRO Brasil,BR
2024-04-14,ORD-2024-00712-SN,Direct,Components,Relay module,CC-100-Production,Germany-North,PLANT-DE-N,Europe,78,1326.28,103449.84,"{""description"":""High-performance electronic components for automotive applications"",""supplier"":""Bosch"",""supplier_country"":""DE""}",High-performance electronic components for automotive applications,Bosch,DE
2025-01-22,ORD-2025-01140-BF,Direct,Blades & Hub Parts,Hub flange,CC-300-Engineering,Vietnam Plant,PLANT-VN,Asia,47,2888.87,135776.89,"{""description"":""High-quality blades and hub parts for automotive applications."",""supplier"":""Viet Nam Automotive Parts Co., Ltd."",""supplier_country"":""VN""}",High-quality blades and hub parts for automotive applications.,"Viet Nam Automotive Parts Co., Ltd.",VN
2024-10-23,ORD-2024-05978-EJ,Non-Procureable,Government Services & Taxes,Income tax,CC-800-Admin,Germany-South,PLANT-DE-S,Europe,1,139708.83,139708.83,"{""description"":""Comprehensive tax advisory and compliance services for government entities."",""supplier"":""KPMG Germany"",""supplier_country"":""DE""}",Comprehensive tax advisory and compliance services for government entities.,KPMG Germany,DE
2025-11-17,ORD-2025-07574-JZ,Direct,Components,Control PCB,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,94,1227.83,115416.02,"{""description"":""High-quality electronic components for industrial automation"",""supplier"":""Viet Nam Electronics Corporation"",""supplier_country"":""VN""}",High-quality electronic components for industrial automation,Viet Nam Electronics Corporation,VN
2025-10-17,ORD-2025-05169-KB,Indirect,Travel & Entertainment,Taxi/ride share,CC-800-Admin,US-East Plant,PLANT-US-E,North America,30,4109.9,123297.0,"{""description"":""Comprehensive travel booking and itinerary management."",""supplier"":""Expedia"",""supplier_country"":""US""}",Comprehensive travel booking and itinerary management.,Expedia,US
2025-08-03,ORD-2025-07518-DD,Indirect,Marketing & Advertising,Trade show booth,CC-500-Sales,Brazil Plant,PLANT-BR,South America,64,1981.18,126795.52,"{""description"":""Creative marketing solutions for Brazilian brands."",""supplier"":""Alma Advertising"",""supplier_country"":""BR""}",Creative marketing solutions for Brazilian brands.,Alma Advertising,BR
2025-07-28,ORD-2025-02267-NC,Direct,Castings & Forgings,Housing casting,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,52,1813.17,94284.84,"{""description"":""High-quality castings and forgings for industrial applications."",""supplier"":""Viet Nam Forging & Casting Co., Ltd."",""supplier_country"":""VNM""}",High-quality castings and forgings for industrial applications.,"Viet Nam Forging & Casting Co., Ltd.",VNM
2024-02-18,ORD-2024-06305-JZ,Indirect,Professional Services,Audit fee,CC-900-Projects,Brazil Plant,PLANT-BR,South America,55,2984.06,164123.3,"{""description"":""Professional consulting services for business optimization"",""supplier"":""Accenture Brazil"",""supplier_country"":""BR""}",Professional consulting services for business optimization,Accenture Brazil,BR
2025-06-25,ORD-2025-08798-TT,Direct,Fasteners,High-tensile bolt,CC-100-Production,Brazil Plant,PLANT-BR,South America,93,577.19,53678.67,"{""description"":""High-quality fasteners for industrial applications."",""supplier"":""Fastenal Brazil"",""supplier_country"":""BR""}",High-quality fasteners for industrial applications.,Fastenal Brazil,BR
